source_url,n_rows,years,types,link_status,quote,verdict
https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/factsheets/2024/digital-trust-centre,1,2024,gov,ok,"initial funding of S$50million ... designated Singapore's AISI",verified_statement
https://aicyberchallenge.com/overview/,1,2024,org,ok,"Cumulative prizes total $29.5 million",verified_statement
https://www.iarpa.gov/research-programs/trojai,1,2024,gov,ok,"TrojAI ... detect Trojan/backdoor attacks (no total)",verified_statement
https://www.longtermwiki.com/wiki/E703,1,2024,wiki,ok,"safety receives 1-8% ... $400-700M Anthropic (est.)",verified_estimate
https://www.goodfire.ai/blog/announcing-our-50m-series-a,1,2025,company,ok,"$50 million Series A funding round led by Menlo Ventures",verified
https://www.grayswan.ai/news/gray-swan-announces-series-a,1,2026,company,ok,"$40 million Series A round co-led by Wing Venture Capital and Madrona",verified
https://techcrunch.com/2024/07/24/lakera-which-protects-enterprises-from-llm-vulnerabilities-raises-20m/,2,"2021,2024",news,ok,"raised $20 million in a Series A round led by ... Atomico; Founded out of Zurich in 2021",verified
https://www.hiddenlayer.com/news/hiddenlayer-raises-50m-in-series-a-funding-to-safeguard-ai,1,2023,company,ok,"raised $50 million in Series A funding ... led by M12, Microsoft's Venture Fund",verified
https://aicompliancevendors.com/compare/lakera-vs-protect-ai,2,"2022,2024",analysis,ok,"raised $108.5M total ($14M seed Dec 2022, $35M Series A Jul 2023, $60M Series B Aug 2024)",verified_estimate
https://www.sec.gov/Archives/edgar/data/1327567/000132756725000027/R37.htm,1,2025,sec,ok,"total purchase consideration for the acquisition of Protect AI was $634.5 million",verified
https://sandbox.philanthropy.com/news/craigslist-founder-signs-giving-pledge-and-narrows-focus/,1,2024,news,ok,"given Common Sense Media ... a total of $14 million over the past decade for ... AI safety",verified_statement
https://cfg.eu/the-ai-safety-institute-network-who-what-and-how/,1,2024,analysis,ok,"100 million GBP, funding secured until 2030 ... yearly 2024/25 funding until 2030",verified_statement
https://www.ad-hoc-news.de/wissenschaft/de-aisi-deutschland-startet-ki-sicherheitsinstitut-mit-100-millionen-euro/69517317,1,2026,news,ok,"Anschubfinanzierung von mindestens 100 Millionen Euro ... Jahresetat von 75 Millionen Euro (proposed)",verified_statement
https://indiaai.gov.in/news/cabinet-approves-india-ai-mission-at-an-outlay-of-rs-10-372-crore,1,2024,gov,ok,"India AI mission with a budget outlay of Rs 10,372 crore for five years",verified_statement
https://www.eleuther.ai/about,1,2020,org,ok,"Founded in July 2020 by Connor Leahy, Sid Black and Leo Gao",verified
https://longterm-wiki.vercel.app/wiki/E1156,1,2022,wiki,ok,"Founded 2022 ... Esben Kran ... 2025 Funding $619,921",verified
